Id;CategoryName;Left;Right
283;Nederdele;200903;201002
284;Nattøj & undertøj;201003;201102
285;Undertøj;201004;201005
286;Nattøj;201006;201007
287;Bodies;201008;201009
288;Badekåber;201010;201011
289;Sokker & strømper;201103;201202
290;Sokker;201104;201105
291;Strømpebukser;201106;201107
292;Knæstrømper;201108;201109
293;Badetøj;201203;201302
294;Bikinier;201204;201205
295;Badebukser;201206;201207
296;Badedragter;201208;201209
297;Sko;210002;220001
298;Sneakers;210003;210102
299;Sneakers low;210004;210005
300;Høje sneakers;210006;210007
301;Sandaler;210103;210202
302;Sandaler med rem;210104;210105
303;Trekking sandaler;210106;210107
304;Klip klapper;210108;210109
305;Lukkede sandaler;210110;210111
306;Lave sko;210203;210302
307;Sko med burretape;210204;210205
308;Snørresko;210206;210207
309;Sko;210208;210209
310;Loafers;210210;210211
311;Ballerinaer;210303;210402
312;Støvler;210403;210502
313;Halvhøje Støvler;210404;210405
314;Høje Støvler;210406;210407
315;Gummistøvler;210408;210409
316;Vinterstøvler;210410;210411
317;Lær-at-gå-sko;210503;210602
318;Kravlesko;210603;210702
319;Hjemmesko;210703;210802
